Date,Open,High,Low,Close,Adj Close,Volume
5/7/2020,4.19,4.19,3.76,3.97,3.97,10800
5/8/2020,3.98,3.98,3.78,3.98,3.98,15000
5/11/2020,4,4,3.8,3.98,3.98,5500
5/12/2020,3.89,3.97,3.82,3.96,3.96,13000
5/13/2020,4.02,4.02,3.68,3.75,3.75,10100
5/14/2020,3.75,3.87,3.51,3.86,3.86,12000
5/15/2020,3.84,3.84,3.63,3.77,3.77,8400
5/18/2020,3.69,3.79,3.69,3.73,3.73,13600
5/19/2020,3.79,3.82,3.7,3.8,3.8,4300
5/20/2020,3.78,3.8,3.71,3.78,3.78,6300
5/21/2020,3.86,3.86,3.76,3.78,3.78,3900
5/22/2020,3.82,3.86,3.73,3.83,3.83,9200
5/26/2020,3.98,3.98,3.81,3.96,3.96,6700
5/27/2020,3.87,3.97,3.67,3.95,3.95,5000
5/28/2020,8.82,22,7.42,19.209999,19.209999,83480200
